"","x"
"1383","GTF2I"
"1384","GULP1"
"1385","GXYLT2"
"1386","GZMK"
"1387","GZMM"
"1388","H1FX"
"1389","H3F3A"
"1390","HAVCR2"
"1391","HDGF"
"1392","HEBP1"
"1393","HECTD4"
"1394","HELB"
"1395","HHIP"
"1396","HIGD1C"
"1397","HIST1H1B"
"1398","HIVEP3"
"1399","HK2"
"1400","HLA-DPA1"
"1401","HLA-DPB1"
"1402","HLA-DRA"
"1403","HLTF"
"1404","HMBS"
"1405","HNRNPAB"
"1406","HOXA3"
"1407","HOXA9"
"1408","HRH4"
"1409","HSH2D"
"1410","HTRA3"
"1411","IFI6"
"1412","IGF1R"
"1413","IL21R"
"1414","INSR"
"1415","INTU"
"1416","IP6K2"
"1417","IQCE"
"1418","IQGAP3"
"1419","IQSEC3"
"1420","ITGA9"
"1421","ITGB2"
"1422","ITM2C"
"1423","ITPR2"
"1424","JADE3"
"1425","JAKMIP2"
"1426","JARID2"
"1427","JUP"
"1428","KANK2"
"1429","KBTBD12"
"1430","KCNJ9"
"1431","KCNK5"
"1432","KCNT2"
"1433","KCTD15"
"1434","KDM5B"
"1435","KIF15"
"1436","KIF26A"
"1437","KIF6"
"1438","KIF7"
"1439","KIFAP3"
"1440","KIR3DL1"
"1441","KLF6"
"1442","KLF7"
"1443","KLHDC9"
"1444","KLHL13"
"1445","KLRB1"
"1446","KLRC2"
"1447","KLRC4"
"1448","KLRG1"
"1449","KMO"
"1450","KRT8"
"1451","L3MBTL4"
"1452","LAIR2"
"1453","LAPTM4A"
"1454","LAT2"
"1455","LAYN"
"1456","LCLAT1"
"1457","LDLRAD4"
"1458","LGALS2"
"1459","LHX6"
"1460","LILRA1"
"1461","LILRA5"
"1462","LINC00114"
"1463","LINC00402"
"1464","LINC00963"
"1465","LINC01010"
"1466","LINC01117"
"1467","LINC01374"
"1468","LINC01515"
"1469","LINC01517"
"1470","LINC01586"
"1471","LMO4"
"1472","LRFN2"
"1473","LRP5"
"1474","LRP6"
"1475","LRRC17"
"1476","LST1"
"1477","LUZP1"
"1478","LY9"
"1479","MACROD2"
"1480","MAGI2"
"1481","MAN1A1"
"1482","MANBA"
"1483","MAP3K5"
"1484","MAP4K4"
"1485","MAPK10"
"1486","MARCH3"
"1487","MARCH8"
"1488","MARVELD3"
"1489","MBP"
"1490","MC1R"
"1491","MCOLN2"
"1492","MCUB"
"1493","MDFIC"
"1494","MDH1B"
"1495","MERTK"
"1496","MEST"
"1497","MEX3B"
"1498","MFSD2B"
"1499","MGLL"
"1500","MIPOL1"
"1501","MKRN3"
"1502","MMP15"
"1503","MMRN1"
"1504","MOB3B"
"1505","MOXD1"
"1506","MRC1"
"1507","MROH7"
"1508","MS4A2"
"1509","MTCL1"
"1510","MTHFD1L"
"1511","MTHFD2L"
"1512","MYBPC2"
"1513","MYCT1"
"1514","MYO10"
"1515","MYO15B"
"1516","MZB1"
"1517","N4BP2L2"
"1518","NAALADL2"
"1519","NAP1L1"
"1520","NBAS"
"1521","NCEH1"
"1522","NCOA1"
"1523","NCOA7"
"1524","NDUFA11"
"1525","NDUFAF6"
"1526","NEAT1"
"1527","NFATC2"
"1528","NFIB"
"1529","NFKBIA"
"1530","NIFK"
"1531","NOS1AP"
"1532","NOSIP"
"1533","NPW"
"1534","NR4A2"
"1535","NREP"
"1536","NSUN7"
"1537","NTNG1"
"1538","OLFM3"
"1539","OR2G6"
"1540","OSBPL5"
"1541","OSBPL6"
"1542","OSGIN1"
"1543","P2RY2"
"1544","P4HA2"
"1545","PABPC1"
"1546","PADI4"
"1547","PANK1"
"1548","PATJ"
"1549","PCED1B-AS1"
"1550","PCLO"
"1551","PCNX1"
"1552","PDE1C"
"1553","PEBP1"
"1554","PELI2"
"1555","PGD"
"1556","PGR"
"1557","PHACTR1"
"1558","PHLDB2"
"1559","PHOSPHO2"
"1560","PIK3AP1"
"1561","PIK3R5"
"1562","PKD1L1"
"1563","PKIA"
"1564","PLAA"
"1565","PLBD1"
"1566","PLEKHA5"
"1567","PLEKHG4B"
"1568","PLPPR3"
"1569","PNOC"
"1570","PNPLA1"
"1571","PODN"
"1572","PPM1F"
"1573","PPM1L"
"1574","PPP1R14A"
"1575","PPP1R16B"
"1576","PPP1R2"
"1577","PPP2R3A"
"1578","PPP3CC"
"1579","PPP3R1"
"1580","PRCD"
"1581","PRDM1"
"1582","PRTG"
"1583","PSCA"
"1584","PSD3"
"1585","PSMA6"
"1586","PSME4"
"1587","PTBP3"
"1588","PTGES3"
"1589","PTMA"
"1590","PTPN12"
"1591","PTPN13"
"1592","PTPN6"
"1593","PTPRD"
"1594","PTPRJ"
"1595","PTPRK"
"1596","PTX3"
"1597","PUM1"
"1598","QSER1"
"1599","RAB11FIP3"
"1600","RAB30"
"1601","RAB3D"
"1602","RAB40A"
"1603","RAB7A"
"1604","RAB7B"
"1605","RABGAP1"
"1606","RAN"
"1607","RANBP3L"
"1608","RASAL2"
"1609","RAVER2"
"1610","RBL2"
"1611","RBMS1"
"1612","RBMS2"
"1613","REL"
"1614","RETN"
"1615","RHBDF2"
"1616","RHCE"
"1617","RHOBTB3"
"1618","RIPK2"
"1619","RNF144B"
"1620","RNF150"
"1621","RNF165"
"1622","RNF217"
"1623","ROBO3"
"1624","ROR1"
"1625","RPL18"
"1626","RPL27A"
"1627","RPL28"
"1628","RPL35"
"1629","RPL5"
"1630","RPL6"
"1631","RPS6KC1"
"1632","RPSA"
"1633","RRM2"
"1634","RUFY1"
"1635","RXRA"
"1636","S1PR3"
"1637","SAG"
"1638","SCG3"
"1639","SCMH1"
"1640","SCX"
"1641","SDK1"
"1642","SELP"
"1643","SERPINA1"
"1644","SET"
"1645","SFRP5"
"1646","SGCD"
"1647","SH2D1B"
"1648","SH3BGRL2"
"1649","SH3GL3"
"1650","SIGLEC14"
"1651","SIRPD"
"1652","SLAMF7"
"1653","SLC15A4"
"1654","SLC16A2"
"1655","SLC1A6"
"1656","SLC25A29"
"1657","SLC28A3"
"1658","SLC2A14"
"1659","SLC37A1"
"1660","SLC39A3"
"1661","SLC43A2"
"1662","SLC6A9"
"1663","SLC7A7"
"1664","SLCO3A1"
"1665","SLFN11"
"1666","SLITRK5"
"1667","SMAD1"
"1668","SMG6"
"1669","SNED1"
"1670","SNHG16"
"1671","SNHG8"
"1672","SNRPE"
"1673","SNX18"
"1674","SNX5"
"1675","SOCS2-AS1"
"1676","SOCS6"
"1677","SORBS1"
"1678","SORD"
"1679","SOX12"
"1680","SOX6"
"1681","SPAG9"
"1682","SPATA12"
"1683","SPATA13"
"1684","SPATC1L"
"1685","SPIN1"
"1686","SPINT2"
"1687","SPIRE1"
"1688","SPTLC2"
"1689","SRC"
"1690","SRGN"
"1691","SSH2"
"1692","SSPN"
"1693","ST6GALNAC3"
"1694","ST6GALNAC5"
"1695","STAM"
"1696","STARD13-AS"
"1697","STAT5A"
"1698","STK17A"
"1699","STRIP2"
"1700","STX11"
"1701","SUSD4"
"1702","SYN3"
"1703","SYTL4"
"1704","TAGLN"
"1705","TANGO2"
"1706","TBC1D8"
"1707","TCL1B"
"1708","TCL6"
"1709","TENM4"
"1710","TEX2"
"1711","TEX41"
"1712","TFDP2"
"1713","TFR2"
"1714","TGFBR2"
"1715","TJP2"
"1716","TLR2"
"1717","TLR4"
"1718","TM7SF3"
"1719","TMEM131"
"1720","TMEM132C"
"1721","TMEM173"
"1722","TMEM233"
"1723","TMEM51"
"1724","TMIE"
"1725","TMSB4X"
"1726","TNFAIP2"
"1727","TNFRSF11A"
"1728","TNFRSF1A"
"1729","TNFRSF1B"
"1730","TNFSF8"
"1731","TNIK"
"1732","TOMM20"
"1733","TPRG1"
"1734","TPST2"
"1735","TPX2"
"1736","TRAT1"
"1737","TREM1"
"1738","TRHDE"
"1739","TTLL7"
"1740","TTN"
"1741","TUBAL3"
"1742","TULP2"
"1743","TVP23A"
"1744","TXK"
"1745","TXNL1"
"1746","TXNRD1"
"1747","TYMP"
"1748","TYMS"
"1749","UACA"
"1750","UBAC2"
"1751","UQCRH"
"1752","USP2"
"1753","USP22"
"1754","USP28"
"1755","VAMP5"
"1756","VMO1"
"1757","VPS37B"
"1758","VSIG1"
"1759","VWDE"
"1760","WDFY3"
"1761","WRN"
"1762","WRNIP1"
"1763","WSB1"
"1764","XCL1"
"1765","YBX3"
"1766","ZBTB10"
"1767","ZBTB7C"
"1768","ZC3H12D"
"1769","ZEB1"
"1770","ZFHX3"
"1771","ZMYND10"
"1772","ZNF22"
"1773","ZNF318"
"1774","ZNF331"
"1775","ZNF667-AS1"
"1776","ZNF774"
"1777","ZNF860"
"1778","ZNF878"
"1779","ZNRF3"
"1780","A2ML1"
"1781","AARD"
"1782","ABCA13"
"1783","ABCB10"
"1784","ABCB11"
"1785","ABCC11"
"1786","ABHD12B"
"1787","ABHD14B"
"1788","ABHD17C"
"1789","ABLIM1"
"1790","ABTB2"
"1791","AC007091.1"
"1792","AC007163.1"
"1793","AC007463.2"
"1794","AC009120.5"
"1795","AC012368.1"
"1796","AC016831.7"
"1797","AC017074.1"
"1798","AC017104.6"
"1799","AC074033.1"
"1800","AC092171.4"
"1801","AC092384.1"
"1802","AC093382.1"
"1803","AC097532.2"
"1804","AC099344.3"
"1805","AC110615.1"
"1806","AC133644.2"
"1807","ACBD7"
"1808","ACOX2"
"1809","ACSBG1"
"1810","ACSM6"
"1811","ACTL10"
"1812","ACTN2"
"1813","ACVR1B"
"1814","ACVR1C"
"1815","ADA"
"1816","ADAM12"
"1817","ADAM17"
"1818","ADAM9"
"1819","ADAMTS9"
"1820","ADAP2"
"1821","ADCY3"
"1822","ADCY4"
"1823","ADD3"
"1824","ADD3-AS1"
"1825","ADGB"
"1826","ADGRA2"
"1827","ADGRB1"
"1828","ADGRL4"
"1829","ADK"
"1830","AF131216.1"
"1831","AFDN"
"1832","AFG3L2"
"1833","AGBL2"
"1834","AGK"
"1835","AGPAT1"
"1836","AGTPBP1"
"1837","AHCTF1"
"1838","AHCYL1"
"1839","AHNAK2"
"1840","AIF1L"
"1841","AIFM3"
"1842","AIG1"
"1843","AIM2"
"1844","AJUBA"
"1845","AK2"
"1846","AKR1C1"
"1847","AKR1C3"
"1848","AKR1C4"
"1849","AKR1E2"
"1850","AL023806.1"
"1851","AL513412.1"
"1852","ALDH1B1"
"1853","ALDH2"
"1854","ALDH8A1"
"1855","ALG1L2"
"1856","ALPK2"
"1857","AMFR"
"1858","AMOTL2"
"1859","ANAPC5"
"1860","ANGPTL2"
"1861","ANGPTL6"
"1862","ANKRD27"
"1863","ANKRD33B"
"1864","ANKRD50"
"1865","ANKRD53"
"1866","ANKRD55"
"1867","ANKRD62P1-PARP4P3"
"1868","ANKRD9"
"1869","ANXA1"
"1870","ANXA5"
"1871","AP000640.2"
"1872","AP2A1"
"1873","APBA2"
"1874","APOBEC3B"
"1875","APOC1"
"1876","APOC2"
"1877","APOE"
"1878","APOL4"
"1879","AR"
"1880","ARHGAP20"
"1881","ARHGAP21"
"1882","ARHGAP23"
"1883","ARHGAP29"
"1884","ARHGAP45"
"1885","ARHGAP5"
"1886","ARHGDIB"
"1887","ARHGEF10L"
"1888","ARHGEF28"
"1889","ARHGEF33"
"1890","ARHGEF40"
"1891","ARL15"
"1892","ARMC8"
"1893","ARNTL2"
"1894","ARSG"
"1895","ARSK"
"1896","ARTN"
"1897","ASAP1"
"1898","ASB11"
"1899","ASB16"
"1900","ASB2"
"1901","ASIC2"
"1902","ASPM"
"1903","ASXL1"
"1904","ASXL3"
"1905","ATAD2"
"1906","ATAD3C"
"1907","ATF3"
"1908","ATF4"
"1909","ATG4C"
"1910","ATG7"
"1911","ATG9B"
"1912","ATL1"
"1913","ATP10D"
"1914","ATP1A3"
"1915","ATP2A2"
"1916","ATP2A3"
"1917","ATP2C2"
"1918","ATP6V1A"
"1919","ATP6V1B2"
"1920","ATP9B"
"1921","AURKA"
"1922","AVPR1B"
"1923","B3GAT1"
"1924","B3GNT4"
"1925","B3GNT8"
"1926","B3GNT9"
"1927","BACH1"
"1928","BAIAP2"
"1929","BAIAP2L2"
"1930","BAIAP3"
"1931","BAMBI"
"1932","BAZ2B"
"1933","BCAS1"
"1934","BCL2A1"
"1935","BCL2L11"
"1936","BEND6"
"1937","BEST1"
"1938","BEST3"
"1939","BEX1"
"1940","BEX3"
"1941","BHLHE40"
"1942","BICD1"
"1943","BIK"
"1944","BLMH"
"1945","BMP1"
"1946","BMP6"
"1947","BMX"
"1948","BNC2"
"1949","BRD3"
"1950","BRI3"
"1951","BRI3BP"
"1952","BRICD5"
"1953","BRK1"
"1954","BST2"
"1955","BTBD8"
"1956","BTNL2"
"1957","C11orf49"
"1958","C11orf96"
"1959","C16orf86"
"1960","C16orf96"
"1961","C19orf47"
"1962","C19orf48"
"1963","C19orf57"
"1964","C19orf71"
"1965","C1orf226"
"1966","C2"
"1967","C20orf194"
"1968","C20orf96"
"1969","C2CD2"
"1970","C2orf88"
"1971","C3"
"1972","C3AR1"
"1973","C5AR2"
"1974","C6orf52"
"1975","C9"
"1976","C9orf43"
"1977","CA14"
"1978","CACFD1"
"1979","CACNA1C"
"1980","CADPS2"
"1981","CALM2"
"1982","CAMKK2"
"1983","CAMKMT"
"1984","CAMLG"
"1985","CAPG"
"1986","CARD6"
"1987","CARD8"
"1988","CASC11"
"1989","CASK"
"1990","CASKIN1"
"1991","CASP2"
"1992","CASP8"
"1993","CASS4"
"1994","CAV1"
"1995","CBL"
"1996","CBX1"
"1997","CBX2"
"1998","CCDC113"
"1999","CCDC13"
"2000","CCDC136"
"2001","CCDC14"
"2002","CCDC149"
"2003","CCDC154"
"2004","CCDC158"
"2005","CCDC191"
"2006","CCDC36"
"2007","CCDC42"
"2008","CCDC80"
"2009","CCDC83"
"2010","CCER2"
"2011","CCL18"
"2012","CCL4L2"
"2013","CCNA2"
"2014","CCNB1IP1"
"2015","CCND1"
"2016","CCNI"
"2017","CCP110"
"2018","CCR10"
"2019","CCR5"
"2020","CCRL2"
"2021","CCT3"
"2022","CCT5"
"2023","CCT6A"
"2024","CD160"
"2025","CD1D"
"2026","CD27"
"2027","CD27-AS1"
"2028","CD300C"
"2029","CD33"
"2030","CD37"
"2031","CD3EAP"
"2032","CD5L"
"2033","CD80"
"2034","CD81"
"2035","CD8B"
"2036","CDADC1"
"2037","CDC20"
"2038","CDC25A"
"2039","CDC42EP4"
"2040","CDCA5"
"2041","CDCA7"
"2042","CDCA7L"
"2043","CDCA8"
"2044","CDH7"
"2045","CDR2"
"2046","CDR2L"
"2047","CDYL2"
"2048","CEACAM21"
"2049","CEL"
"2050","CELA2B"
"2051","CENPE"
"2052","CENPF"
"2053","CENPM"
"2054","CENPU"
"2055","CEP126"
"2056","CEP83"
"2057","CEP85"
"2058","CEPT1"
"2059","CETP"
"2060","CFAP43"
"2061","CFAP69"
"2062","CFLAR"
"2063","CGNL1"
"2064","CGREF1"
"2065","CHCHD2"
"2066","CHCHD4"
"2067","CHGB"
"2068","CHMP7"
"2069","CHN2"
"2070","CHST12"
"2071","CIT"
"2072","CIZ1"
"2073","CKAP2L"
"2074","CKMT2"
"2075","CKS2"
"2076","CLDN9"
"2077","CLDND2"
"2078","CLEC2B"
"2079","CLIC1"
"2080","CLNS1A"
"2081","CLTC"
"2082","CLUAP1"
"2083","CMKLR1"
"2084","CMTM2"
"2085","CNBD1"
"2086","CNBP"
"2087","CNFN"
"2088","CNNM1"
"2089","CNR1"
"2090","CNTN1"
"2091","CNTN4"
"2092","COL14A1"
"2093","COL18A1"
"2094","COL4A3"
"2095","COL5A1"
"2096","COLGALT1"
"2097","COLQ"
"2098","COPRS"
"2099","COQ4"
"2100","CORO1B"
"2101","CORO7"
"2102","CPE"
"2103","CPNE5"
"2104","CPNE7"
"2105","CR1"
"2106","CRAT"
"2107","CREB3L2"
"2108","CREBRF"
"2109","CREG1"
"2110","CRHR2"
"2111","CRIP3"
"2112","CRISPLD1"
"2113","CRY1"
"2114","CSAG1"
"2115","CSNK1A1"
"2116","CSNK2A1"
"2117","CSNK2A2"
"2118","CSNK2B"
"2119","CSRP1"
"2120","CTNND1"
"2121","CTSH"
"2122","CTSW"
"2123","CTXN1"
"2124","CUTA"
"2125","CXADR"
"2126","CXCR3"
"2127","CYFIP1"
"2128","CYLD"
"2129","CYP1B1"
"2130","CYP27A1"
"2131","CYP2E1"
"2132","CYP39A1"
"2133","CYP4A22-AS1"
"2134","CYP4F2"
"2135","CYP4F22"
"2136","CYP51A1"
"2137","DANT2"
"2138","DAP"
"2139","DAPK2"
"2140","DCAF12"
"2141","DCAF7"
"2142","DCTPP1"
"2143","DDX19B"
"2144","DDX6"
"2145","DEK"
"2146","DENR"
"2147","DGKG"
"2148","DGKH"
"2149","DHDH"
"2150","DHRS3"
"2151","DHRS9"
"2152","DHX15"
"2153","DIP2C"
"2154","DISC1FP1"
"2155","DLK1"
"2156","DLL1"
"2157","DLL3"
"2158","DMC1"
"2159","DMXL1"
"2160","DNAH10OS"
"2161","DNAH14"
"2162","DNAH2"
"2163","DNAJA4"
"2164","DNAJC25"
"2165","DNAJC4"
"2166","DNER"
"2167","DNMT3A"
"2168","DOCK3"
"2169","DOCK6"
"2170","DOK1"
"2171","DPF1"
"2172","DPF2"
"2173","DPF3"
"2174","DPPA4"
"2175","DPYSL2"
"2176","DSP"
"2177","DUBR"
"2178","DUSP10"
"2179","DUSP4"
"2180","DYNC1I2"
"2181","DZIP1"
"2182","E2F2"
"2183","E2F5"
"2184","EAF2"
"2185","EBPL"
"2186","ECD"
"2187","ECE1"
"2188","ECHDC3"
"2189","EDARADD"
"2190","EGF"
"2191","EGFL8"
"2192","EGLN3"
"2193","EGR3"
"2194","EIF1AX"
"2195","EIF2AK4"
"2196","EIF3A"
"2197","EIF3E"
"2198","EIF3F"
"2199","EIF3G"
"2200","EIF3J"
"2201","EIF3K"
"2202","EIF4E3"
"2203","EIF4G2"
"2204","ELF1"
"2205","ELF2"
"2206","ELN"
"2207","ELOVL4"
"2208","EMP2"
"2209","ENOX1"
"2210","EPHA4"
"2211","EPHX2"
"2212","EPHX4"
"2213","EPN2"
"2214","EPX"
"2215","ERI2"
"2216","ERMAP"
"2217","ESR1"
"2218","ESYT3"
"2219","ETV5"
"2220","EVC2"
"2221","EVI5"
"2222","EVL"
"2223","EXOC3L2"
"2224","EXOC3L4"
"2225","F2"
"2226","F2R"
"2227","FAAH2"
"2228","FABP3"
"2229","FAM114A1"
"2230","FAM124A"
"2231","FAM131A"
"2232","FAM151A"
"2233","FAM153A"
"2234","FAM177B"
"2235","FAM178B"
"2236","FAM214A"
"2237","FAM228B"
"2238","FAM81A"
"2239","FAM83B"
"2240","FAM83E"
"2241","FAM83G"
"2242","FASN"
"2243","FAT3"
"2244","FAT4"
"2245","FAU"
"2246","FBLIM1"
"2247","FBLN2"
"2248","FBXO17"
"2249","FCGR1B"
"2250","FCGRT"
"2251","FCHO2"
"2252","FCRLA"
"2253","FDFT1"
"2254","FER"
"2255","FER1L6"
"2256","FERMT1"
"2257","FERMT2"
"2258","FERMT3"
"2259","FES"
"2260","FGD6"
"2261","FGF20"
"2262","FHIT"
"2263","FIGN"
"2264","FILIP1"
"2265","FIRRE"
"2266","FKBP9"
"2267","FLNA"
"2268","FLRT1"
"2269","FLT3LG"
"2270","FNDC10"
"2271","FNDC3A"
"2272","FNDC7"
"2273","FOSL2"
"2274","FRAS1"
"2275","FSCN3"
"2276","FSD1"
"2277","FTL"
"2278","FTSJ3"
"2279","FUT4"
"2280","FUT7"
"2281","FUT8"
"2282","FXN"
"2283","FXYD3"
"2284","FXYD5"
"2285","FZD1"
"2286","FZD2"
"2287","FZD6"
"2288","GAA"
"2289","GABPB1"
"2290","GABRR1"
"2291","GADD45A"
"2292","GADD45G"
"2293","GADD45GIP1"
"2294","GALE"
"2295","GALNS"
"2296","GALNT13"
"2297","GALNT18"
"2298","GALNT2"
"2299","GAR1"
"2300","GATAD1"
"2301","GBGT1"
"2302","GBP5"
"2303","GCAT"
"2304","GCH1"
"2305","GCLC"
"2306","GCLM"
"2307","GCNT1"
"2308","GCNT2"
"2309","GCNT4"
"2310","GDF10"
"2311","GDF11"
"2312","GDPD1"
"2313","GDPD4"
"2314","GFPT2"
"2315","GGA2"
"2316","GJA4"
"2317","GK5"
"2318","GLCCI1"
"2319","GLG1"
"2320","GLMP"
"2321","GLRA2"
"2322","GLRB"
"2323","GLRX5"
"2324","GLS"
"2325","GMFG"
"2326","GMPPB"
"2327","GNS"
"2328","GOLGA2"
"2329","GOLPH3"
"2330","GORASP1"
"2331","GPATCH4"
"2332","GPER1"
"2333","GPHN"
"2334","GPR141"
"2335","GPR153"
"2336","GPR161"
"2337","GPR174"
"2338","GPR3"
"2339","GPR65"
"2340","GPT2"
"2341","GRAMD4"
"2342","GRAPL"
"2343","GRIK4"
"2344","GRIK5"
"2345","GRIN2A"
"2346","GRIN2C"
"2347","GRIN2D"
"2348","GRIN3A"
"2349","GRK4"
"2350","GRK5"
"2351","GRM1"
"2352","GSAP"
"2353","GSK3B"
"2354","GSTO2"
"2355","GTSE1"
"2356","GUSB"
"2357","GYPA"
"2358","GYPE"
"2359","H2AFV"
"2360","H2AFY2"
"2361","HAAO"
"2362","HABP4"
"2363","HADHA"
"2364","HAS3"
"2365","HBA2"
"2366","HBEGF"
"2367","HBQ1"
"2368","HCG17"
"2369","HCG20"
"2370","HCN2"
"2371","HEBP2"
"2372","HECA"
"2373","HEG1"
"2374","HERC2"
"2375","HFM1"
"2376","HGH1"
"2377","HHEX"
"2378","HIC1"
"2379","HIF1A"
"2380","HIP1"
"2381","HIPK3"
"2382","HIST1H1D"
"2383","HIST1H1E"
"2384","HIST1H2AE"
"2385","HIST1H2AM"
"2386","HIST1H2BC"
"2387","HIST1H2BJ"
"2388","HIST1H2BO"
"2389","HIST1H3C"
"2390","HJURP"
"2391","HK3"
"2392","HLA-DMB"
"2393","HLA-DOA"
"2394","HLX"
"2395","HMCN1"
"2396","HMG20B"
"2397","HMGN3"
"2398","HNRNPA2B1"
"2399","HNRNPD"
"2400","HNRNPF"
"2401","HNRNPM"
"2402","HOMER2"
"2403","HOMER3"
"2404","HOOK1"
"2405","HOXA4"
"2406","HOXB4"
"2407","HPCAL4"
"2408","HPD"
"2409","HPGD"
"2410","HPGDS"
"2411","HPS4"
"2412","HRH1"
"2413","HRK"
"2414","HRNR"
"2415","HS3ST1"
"2416","HSD17B6"
"2417","HSPA12A"
"2418","HSPA1A"
"2419","HSPA4"
"2420","HSPA4L"
"2421","HSPA6"
"2422","HTR2B"
"2423","HTRA4"
"2424","HYI"
"2425","ICA1"
"2426","ICAM1"
"2427","ICAM4"
"2428","ICAM5"
"2429","ICMT"
"2430","IDH2"
"2431","IER5L"
"2432","IFI27"
"2433","IFIT1"
"2434","IFRD1"
"2435","IFT172"
"2436","IFT27"
"2437","IFT57"
"2438","IFT74"
"2439","IFT88"
"2440","IGF2BP1"
"2441","IGF2R"
"2442","IGFBP2"
"2443","IGSF10"
"2444","IGSF3"
"2445","IL10RA"
"2446","IL15"
"2447","IL17RB"
"2448","IL18"
"2449","IL1R1"
"2450","IL1RAP"
"2451","IL1RAPL2"
"2452","IL1RL1"
"2453","IL24"
"2454","IL2RA"
"2455","IL2RG"
"2456","IL31RA"
"2457","IL6R"
"2458","IL7"
"2459","ILF2"
"2460","IMMP2L"
"2461","IMPDH2"
"2462","INHBA"
"2463","INHBC"
"2464","IPO7"
"2465","IRF1"
"2466","IRS2"
"2467","ISOC2"
"2468","ITGAD"
"2469","ITGAV"
"2470","ITGBL1"
"2471","ITSN1"
"2472","JAK1"
"2473","JAKMIP1"
"2474","JAM2"
"2475","JUN"
"2476","KANK1"
"2477","KANSL1L"
"2478","KBTBD11"
"2479","KBTBD6"
"2480","KCNA7"
"2481","KCNB1"
"2482","KCNC3"
"2483","KCND2"
"2484","KCNE1"
"2485","KCNE3"
"2486","KCNIP1"
"2487","KCNIP2"
"2488","KCNIP4"
"2489","KCNJ10"
"2490","KCNJ12"
"2491","KCNJ8"
"2492","KCNK12"
"2493","KCNK7"
"2494","KCNQ1"
"2495","KCNQ4"
"2496","KCTD12"
"2497","KDELR3"
"2498","KDM1A"
"2499","KDM6A"
"2500","KDM7A"
"2501","KIAA0040"
"2502","KIAA0513"
"2503","KIAA1257"
"2504","KIF18B"
"2505","KIF26B"
"2506","KIF2A"
"2507","KIF5A"
"2508","KIR2DL1"
"2509","KIR2DL3"
"2510","KL"
"2511","KLF10"
"2512","KLHDC8B"
"2513","KLHL18"
"2514","KLHL23"
"2515","KLHL3"
"2516","KLLN"
"2517","KMT2E"
"2518","KNL1"
"2519","KPNB1"
"2520","KRT18"
"2521","LACTB"
"2522","LAMA2"
"2523","LAMC1"
"2524","LAMC3"
"2525","LAMP2"
"2526","LARGE2"
"2527","LARP1"
"2528","LARP1B"
"2529","LAX1"
"2530","LBH"
"2531","LCK"
"2532","LCOR"
"2533","LCP1"
"2534","LDB2"
"2535","LDLRAP1"
"2536","LEPROT"
"2537","LGALS1"
"2538","LGALS9"
"2539","LGALS9B"
"2540","LGALSL"
"2541","LGR6"
"2542","LILRA2"
"2543","LILRA6"
"2544","LIMA1"
"2545","LIN28B-AS1"
"2546","LINC00092"
"2547","LINC00102"
"2548","LINC00200"
"2549","LINC00239"
"2550","LINC00271"
"2551","LINC00276"
"2552","LINC00309"
"2553","LINC00342"
"2554","LINC00407"
"2555","LINC00469"
"2556","LINC00471"
"2557","LINC00472"
"2558","LINC00494"
"2559","LINC00562"
"2560","LINC00565"
"2561","LINC00607"
"2562","LINC00664"
"2563","LINC00862"
"2564","LINC00937"
"2565","LINC00939"
"2566","LINC00944"
"2567","LINC00996"
"2568","LINC01033"
"2569","LINC01091"
"2570","LINC01119"
"2571","LINC01126"
"2572","LINC01140"
"2573","LINC01144"
"2574","LINC01151"
"2575","LINC01170"
"2576","LINC01215"
"2577","LINC01222"
"2578","LINC01250"
"2579","LINC01337"
"2580","LINC01344"
"2581","LINC01362"
"2582","LINC01395"
"2583","LINC01402"
"2584","LINC01427"
"2585","LINC01431"
"2586","LINC01475"
"2587","LINC01476"
"2588","LINC01578"
"2589","LINC01600"
"2590","LINC01625"
"2591","LINC01630"
"2592","LINGO2"
"2593","LINS1"
"2594","LIX1"
"2595","LMNTD2"
"2596","LNP1"
"2597","LONRF1"
"2598","LOX"
"2599","LPCAT1"
"2600","LPCAT3"
"2601","LPO"
"2602","LPP"
"2603","LRMP"
"2604","LRP1"
"2605","LRP11"
"2606","LRP2"
"2607","LRRC56"
"2608","LRRC75A"
"2609","LRRC75B"
"2610","LRRFIP1"
"2611","LRRTM3"
"2612","LSM2"
"2613","LUC7L3"
"2614","LXN"
"2615","LY6G6D"
"2616","LYSMD4"
"2617","LYZ"
"2618","M1AP"
"2619","MAFF"
"2620","MAGI1"
"2621","MAGI2-AS3"
"2622","MAMSTR"
"2623","MAN2A1"
"2624","MAP1A"
"2625","MAP1LC3A"
"2626","MAP4K3"
"2627","MAPK12"
"2628","MAPK14"
"2629","MARC1"
"2630","MARCH1"
"2631","MARCH4"
"2632","MARVELD1"
"2633","MB21D2"
"2634","MBNL1"
"2635","MCF2L2"
"2636","MCM4"
"2637","MCM5"
"2638","MCUR1"
"2639","ME1"
"2640","MEF2A"
"2641","MEGF10"
"2642","MELTF"
"2643","MEP1A"
"2644","MET"
"2645","METAP2"
"2646","METRNL"
"2647","METTL7A"
"2648","MFAP4"
"2649","MFF"
"2650","MFHAS1"
"2651","MFSD11"
"2652","MGAT4B"
"2653","MICU3"
"2654","MIF"
"2655","MILR1"
"2656","MIR3681HG"
"2657","MIR3945HG"
"2658","MIR4500HG"
"2659","MIR503HG"
"2660","MIR646HG"
